SYS,SYS,SYS,SYS,SYS,USERDEF,USERDEF,USERDEF,USERDEF,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,MATCH,MATCH,MATCH,MATCH,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,META,META,META,META,META,META,META
9,11:03:58,3/18/2025,Petals barcode,Shea Nolan,,5,A,bottom,0.049525,2.539491,0.048578,0.866326,1.226133,1.194633,2.976999,1.750867,11.913123,12.227242,29.687239,0.441786,7.5,50.48,49.18,20.56,23.9,23.9,100.28,120.4,120,0.3,2133,3.912,10:59:50,3/18/2025,-0.01,1,-0.001,0.002,-9999,0.001,0.001,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.498814,2.511856,1.357446,0.843739,0.325791,0.037818,0.210574,1.959212,35.852909,0.000132,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-02-26T02:26:52.357Z
10,11:04:31,3/18/2025,Petals barcode,Shea Nolan,,5,A,top,0.003412,2.540751,0.003407,0.059777,1.145299,1.143126,2.869489,1.72419,11.399137,11.420813,28.614265,0.441786,7.5,47.06,46.97,20.59,23.29,23.29,100.28,120.5,120.1,0.3,1617,3.911,10:59:50,3/18/2025,-0.01,1,0.004,0.004,-9999,0.003,0.001,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.495597,2.506849,1.358195,0.844127,0.325368,0.030357,0.212891,1.510803,35.809635,0.000132,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-02-26T02:26:52.357Z
11,11:08:00,3/18/2025,Petals barcode,Shea Nolan,,6,A,bottom,0.077222,2.540887,0.074944,1.14033,1.24199,1.200578,2.737304,1.495314,11.974232,12.387263,27.301105,0.441786,7.5,51.54,49.82,20.43,22.51,22.51,100.26,120.5,120.1,0.3,1711,3.909,10:59:50,3/18/2025,-0.01,1,-0.004,-0.001,0.017,0.001,-0.003,-0.007,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.499769,2.513428,1.358276,0.844044,0.327484,0.023238,0.228047,1.592653,35.85899,0.000131,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-02-26T02:26:52.357Z
12,11:08:47,3/18/2025,Petals barcode,Shea Nolan,,6,A,top,0.074298,2.543447,0.07219,1.120403,1.341419,1.30083,2.865186,1.523768,12.971655,13.376398,28.571152,0.441786,7.5,55.38,53.71,20.51,23.26,23.26,100.28,120.7,120,0.5,1955,3.908,10:59:50,3/18/2025,-0.01,1,-0.001,-0.001,-0.015,-0.003,-0.001,0,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.505321,2.518948,1.359802,0.843882,0.32641,0.030982,0.231421,1.804209,35.915138,0.000134,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-02-26T02:26:52.357Z
13,11:10:49,3/18/2025,Petals barcode,Shea Nolan,,7,A,bottom,0.127239,2.540897,0.121171,1.358338,1.293454,1.244151,2.396721,1.103266,12.40891,12.900646,23.904398,0.441786,7.5,53.18,51.15,20.58,20.34,20.34,100.26,120.5,120.2,0.2,1906,3.907,10:59:50,3/18/2025,-0.01,1,-0.002,0.001,-9999,0.001,0.006,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.501651,2.515764,1.358282,0.8443,0.325523,-0.002988,0.239952,1.761539,35.993813,0.000133,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-02-26T02:26:52.357Z
14,11:11:56,3/18/2025,Petals barcode,Shea Nolan,,7,A,top,0.075119,2.539174,0.07296,0.786168,1.245038,1.216456,2.306298,1.06126,12.132293,12.41735,23.001795,0.441786,7.5,50.88,49.71,20.68,19.72,19.72,100.27,120.3,120,0.2,1879,3.905,11:11:09,3/18/2025,-0.03,1,-0.003,-0.002,-0.013,0.003,0.003,-0.004,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.499552,2.512442,1.357257,0.843921,0.324236,-0.011006,0.24421,1.737945,36.060692,0.000134,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-02-26T02:26:52.357Z
15,11:15:33,3/18/2025,Petals barcode,Shea Nolan,,8,A,bottom,0.020148,2.538204,0.019989,0.212985,1.225632,1.217884,2.275153,1.049521,12.148314,12.225603,22.694513,0.441786,7.5,50.45,50.13,20.56,19.5,19.5,100.25,120.3,119.8,0.4,651,3.904,11:11:09,3/18/2025,-0.03,1,0.005,0.001,0.019,0.003,0.001,0,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.500191,2.511853,1.356682,0.843402,0.325781,-0.012088,0.257434,0.671962,35.979507,0.000129,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-02-26T02:26:52.357Z
16,11:16:13,3/18/2025,Petals barcode,Shea Nolan,,8,A,top,-0.008004,2.541299,-0.008029,-0.093902,1.179974,1.183385,2.331947,1.151973,11.803222,11.769197,23.259109,0.441786,7.5,48.86,49,20.46,19.9,19.9,100.26,120.5,119.8,0.6,211,3.903,11:11:09,3/18/2025,-0.03,1,0,-0.001,-9999,0,-0.001,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.498584,2.509559,1.358522,0.843399,0.32704,-0.006604,0.2597,0.289809,35.972713,0.000133,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-02-26T02:26:52.357Z
17,11:20:09,3/18/2025,Petals barcode,Shea Nolan,,9,A,bottom,0.015817,2.540864,0.015719,0.248056,1.326568,1.317569,2.87533,1.548762,13.143255,13.233027,28.682526,0.441786,7.5,54.31,53.94,20.65,23.32,23.32,100.25,120.5,120,0.4,1750,3.9,11:11:09,3/18/2025,-0.03,1,-0.002,0,-0.014,-0.003,0,0.005,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.505619,2.517402,1.358263,0.843892,0.32462,0.030089,0.275361,1.626299,36.146881,0.000132,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-02-26T02:26:52.357Z
18,11:20:38,3/18/2025,Petals barcode,Shea Nolan,,9,A,top,0.014566,2.540117,0.014483,0.16503,1.291158,1.285166,2.412295,1.121137,12.820251,12.880025,24.063993,0.441786,7.5,52.61,52.36,20.73,20.45,20.45,100.25,120.4,120,0.3,259,3.899,11:11:09,3/18/2025,-0.03,1,-0.004,-0.001,-9999,0.001,0.001,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.503344,2.514927,1.357818,0.843945,0.323599,-0.00349,0.277434,0.331671,36.209106,0.000131,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-02-26T02:26:52.357Z
19,11:22:45,3/18/2025,Petals barcode,Shea Nolan,,10,A,bottom,0.009474,2.542204,0.009439,0.102964,1.200132,1.196396,2.274521,1.074389,11.936324,11.973601,22.692678,0.441786,7.5,48.37,48.22,20.9,19.5,19.5,100.23,120.6,119.8,0.7,1442,3.898,11:11:09,3/18/2025,-0.03,1,-0.001,-0.001,-9999,0.002,0.004,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.497337,2.508729,1.359061,0.84328,0.321311,-0.016027,0.285515,1.359009,36.348579,0.000129,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-02-26T02:26:52.357Z
20,11:23:17,3/18/2025,Petals barcode,Shea Nolan,,10,A,top,0.020747,2.542577,0.020579,0.231531,1.278949,1.270557,2.385886,1.106937,12.677648,12.761386,23.806427,0.441786,7.5,51.46,51.13,20.93,20.27,20.27,100.22,120.6,119.9,0.6,1030,3.897,11:22:57,3/18/2025,0.01,1,0.003,0.004,-9999,0.005,0.003,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.501522,2.513163,1.359283,0.84351,0.320979,-0.007773,0.28751,1.001031,36.356808,0.000132,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-02-26T02:26:52.357Z
21,11:25:13,3/18/2025,Petals barcode,Shea Nolan,,11,A,bottom,0.083899,2.539508,0.081216,0.94328,1.236216,1.201943,2.379216,1.143,11.993168,12.335148,23.740171,0.441786,7.5,49.98,48.6,20.85,20.22,20.22,100.22,120.4,119.9,0.4,1532,3.891,11:22:57,3/18/2025,0.01,1,-0.002,-0.004,-9999,0.001,0.001,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.497897,2.511031,1.357456,0.843586,0.321978,-0.007399,0.294482,1.437184,36.461594,0.000132,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-02-26T02:26:52.357Z
22,11:25:57,3/18/2025,Petals barcode,Shea Nolan,,11,A,top,0.001808,2.540246,0.001807,0.021694,1.260955,1.260167,2.442103,1.181148,12.573287,12.581146,24.36602,0.441786,7.5,50.86,50.83,20.89,20.65,20.65,100.23,120.4,120.1,0.2,1495,3.895,11:22:57,3/18/2025,0.01,1,-0.002,-0.001,-0.017,0.002,0.002,0.004,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.501102,2.512295,1.357895,0.844123,0.32147,-0.00313,0.296909,1.404834,36.524891,0.000131,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-02-26T02:26:52.357Z
23,11:32:27,3/18/2025,Petals barcode,Shea Nolan,,12,A,bottom,-0.002097,2.53958,-0.002098,-0.030381,1.127442,1.128547,2.551293,1.423851,11.264683,11.253656,25.46594,0.441786,7.5,45.46,45.51,20.9,21.36,21.36,100.18,120.4,119.9,0.4,983,3.89,11:22:57,3/18/2025,0.01,1,0.002,0.003,0.021,0.003,0.005,0.01,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.493395,2.504396,1.357499,0.843508,0.321417,0.004816,0.317326,0.960379,36.564945,0.000133,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-02-26T02:26:52.357Z
24,11:32:57,3/18/2025,Petals barcode,Shea Nolan,,12,A,top,-0.003103,2.538929,-0.003107,-0.038765,1.195643,1.197053,2.423319,1.227675,11.9472,11.933135,24.185965,0.441786,7.5,48.22,48.27,20.89,20.52,20.52,100.2,120.3,120,0.2,263,3.89,11:22:57,3/18/2025,0.01,1,-0.001,0,-9999,0.001,0.001,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.497421,2.508447,1.357112,0.843938,0.32144,-0.004557,0.31911,0.335242,36.571384,0.000133,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-02-26T02:26:52.357Z
25,11:38:24,3/18/2025,Petals barcode,Shea Nolan,,13,A,bottom,-0.004915,2.537117,-0.004924,-0.092787,1.06752,1.070902,2.917997,1.850477,10.687321,10.653572,29.120853,0.441786,7.5,43.25,43.39,20.82,23.57,23.57,100.2,120.2,119.8,0.3,2170,3.885,11:33:11,3/18/2025,0,1,-0.003,-0.002,-9999,-0.003,-0.003,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.490302,2.501153,1.356036,0.8434,0.322407,0.030964,0.335235,1.99094,36.619663,0.000132,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-02-26T02:26:52.357Z
26,11:39:01,3/18/2025,Petals barcode,Shea Nolan,,13,A,top,0.005953,2.541135,0.005939,0.116525,1.12292,1.118686,3.047971,1.925051,11.164283,11.206532,30.418188,0.441786,7.5,45.55,45.38,20.8,24.29,24.29,100.2,120.5,120.2,0.3,2116,3.885,11:33:11,3/18/2025,0,1,-0.001,-0.001,-9999,0,0.003,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.49323,2.504569,1.358424,0.844206,0.322668,0.039645,0.33705,1.944093,36.629318,0.000132,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-02-26T02:26:52.357Z
27,11:41:10,3/18/2025,Petals barcode,Shea Nolan,,14,A,bottom,-0.011253,2.538911,-0.011304,-0.176579,1.085763,1.092191,2.62235,1.536587,10.898208,10.834068,26.16659,0.441786,7.5,44.16,44.42,20.75,21.81,21.81,100.22,120.3,120,0.2,1880,3.884,11:33:11,3/18/2025,0,1,-0.001,-0.001,-9999,-0.002,0.001,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.491844,2.502526,1.357102,0.843948,0.323243,0.011503,0.34359,1.739318,36.685825,0.000131,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-02-26T02:26:52.357Z
28,11:41:43,3/18/2025,Petals barcode,Shea Nolan,,14,A,top,0.00469,2.541767,0.004681,0.080012,1.181531,1.178626,2.85983,1.678299,11.760979,11.789961,28.536945,0.441786,7.5,47.86,47.74,20.82,23.23,23.23,100.21,120.5,120,0.4,1823,3.883,11:33:11,3/18/2025,0,1,0.003,0.001,-0.011,0.003,0.003,0.006,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.496663,2.507956,1.3588,0.843937,0.322358,0.027058,0.345597,1.6896,36.737679,0.00013,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-02-26T02:26:52.357Z
29,11:43:47,3/18/2025,Petals barcode,Shea Nolan,,15,A,bottom,0.010264,2.538301,0.010223,0.133522,1.145764,1.140904,2.431494,1.285731,11.383112,11.431601,24.259691,0.441786,7.5,46.52,46.32,20.78,20.58,20.58,100.23,120.3,120,0.2,280,3.882,11:33:11,3/18/2025,0,1,0.002,0.003,-9999,0.001,0.001,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.494616,2.506006,1.356739,0.843778,0.322873,-0.002689,0.351394,0.349961,36.780594,0.000129,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-02-26T02:26:52.357Z
30,11:46:13,3/18/2025,Petals barcode,Shea Nolan,,15,A,top,-0.000139,2.538488,-0.000139,-0.00181,1.216867,1.216933,2.498249,1.281382,12.142374,12.141718,24.927151,0.441786,7.5,49.17,49.18,20.86,21.02,21.02,100.22,120.3,120.1,0.2,1248,3.879,11:43:59,3/18/2025,0.12,1,0.001,0.003,-0.019,0,0.004,0.003,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.498734,2.509691,1.35685,0.843958,0.321871,0.001362,0.358581,1.190686,36.881088,0.000132,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-02-26T02:26:52.357Z
31,11:49:25,3/18/2025,Petals barcode,Shea Nolan,,16,A,bottom,0.010048,2.540079,0.010009,0.167681,1.115974,1.109874,2.762967,1.646993,11.071397,11.13224,27.561594,0.441786,7.5,45.04,44.79,20.88,22.66,22.66,100.25,120.4,119.8,0.5,2054,3.877,11:43:59,3/18/2025,0.12,1,-0.001,0.002,-9999,0.003,0.003,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.492351,2.503608,1.357796,0.843481,0.32159,0.019831,0.367026,1.890263,36.936523,0.000131,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-02-26T02:26:52.357Z
32,11:49:57,3/18/2025,Petals barcode,Shea Nolan,,16,A,top,0.023772,2.540509,0.023551,0.41376,1.119716,1.104672,2.845885,1.726169,11.020597,11.170684,28.391563,0.441786,7.5,45.08,44.48,20.92,23.15,23.15,100.24,120.4,120,0.4,1402,3.876,11:43:59,3/18/2025,0.12,1,-0.002,0,-9999,0.003,-0.001,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.491879,2.503665,1.358052,0.843727,0.321095,0.025004,0.368609,1.32409,36.96656,0.000132,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-02-26T02:26:52.357Z
33,11:59:55,3/18/2025,Petals barcode,Shea Nolan,,17,A,bottom,0.009356,2.542802,0.009321,0.162821,1.155447,1.149536,2.87174,1.716293,11.464519,11.523472,28.640358,0.441786,7.5,40.11,39.9,23.35,23.3,23.3,100.27,120.6,119.6,0.8,867,3.869,11:43:59,3/18/2025,0.12,1,-0.001,-0.002,-9999,-0.008,-0.001,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.484574,2.495706,1.359417,0.842973,0.291256,-0.001307,0.391969,0.859501,37.178635,0.000133,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-02-26T02:26:52.357Z
34,12:00:30,3/18/2025,Petals barcode,Shea Nolan,,17,A,top,0.02386,2.537533,0.023637,0.351028,1.206804,1.194024,2.666996,1.460192,11.908919,12.036383,26.600004,0.441786,7.5,41.78,41.34,23.4,22.08,22.08,100.26,120.2,119.6,0.5,269,3.868,12:00:07,3/18/2025,0.14,1,0.004,0,-9999,0,0,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.486692,2.49818,1.356283,0.842829,0.29075,-0.015667,0.392986,0.340386,37.154675,0.000131,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-02-26T02:26:52.357Z
