Time,Date,Sample,Study plot,Petal side,gsw,leak_pct,plant
12:58:26,3/18/2025,26.0,A,bottom,0.006513,0.5,#26
12:59:10,3/18/2025,26.0,A,top,-0.006145,0.3,#26
13:02:53,3/18/2025,27.0,A,bottom,0.005049,0.6,#27
13:04:05,3/18/2025,27.0,A,top,0.00297,0.4,#27
13:07:51,3/18/2025,28.0,A,bottom,-0.004436,0.6,#28
13:08:16,3/18/2025,28.0,A,top,0.009816,0.7,#28
13:11:36,3/18/2025,29.0,A,bottom,-0.008242,0.7,#29
13:12:04,3/18/2025,29.0,A,top,0.004735,0.5,#29
13:14:54,3/18/2025,30.0,A,bottom,-0.001381,0.7,#30
13:15:42,3/18/2025,30.0,A,top,0.008948,0.6,#30
13:18:21,3/18/2025,31.0,A,bottom,0.000434,0.5,#31
13:19:07,3/18/2025,31.0,A,top,0.023794,0.3,#31
13:21:55,3/18/2025,32.0,A,bottom,-0.001918,0.5,#32
13:22:27,3/18/2025,32.0,A,top,0.003278,0.3,#32
13:25:25,3/18/2025,33.0,A,bottom,0.000765,0.6,#33
13:26:07,3/18/2025,33.0,A,top,0.000508,0.6,#33
13:28:42,3/18/2025,34.0,A,bottom,-0.008675,0.4,#34
13:29:09,3/18/2025,34.0,A,top,-0.003599,0.4,#34
13:31:48,3/18/2025,35.0,A,bottom,0.006845,0.6,#35
13:32:19,3/18/2025,35.0,A,top,-0.003975,0.4,#35
13:35:38,3/18/2025,36.0,A,bottom,-0.004951,0.4,#36
13:36:25,3/18/2025,36.0,A,top,0.011936,0.6,#36
13:38:53,3/18/2025,37.0,A,bottom,-0.002719,0.6,#37
13:39:29,3/18/2025,37.0,A,top,-0.002662,0.3,#37
13:42:20,3/18/2025,38.0,A,bottom,0.000453,0.7,#38
13:42:49,3/18/2025,38.0,A,top,0.010704,0.7,#38
13:45:12,3/18/2025,39.0,A,bottom,0.009795,0.7,#39
13:45:36,3/18/2025,39.0,A,top,-0.002968,0.5,#39
13:48:12,3/18/2025,40.0,A,bottom,0.002143,0.6,#40
13:48:44,3/18/2025,40.0,A,top,0.006508,0.5,#40
9:53:31,3/25/2025,1.0,A,bottom,0.010529,-0.1,#1
9:53:58,3/25/2025,1.0,A,top,0.035078,0.2,#1
9:56:29,3/25/2025,2.0,A,bottom,0.002621,0.2,#2
9:56:57,3/25/2025,2.0,A,top,0.002141,0.1,#2
10:02:38,3/25/2025,3.0,A,bottom,0.053326,0.5,#3
10:02:57,3/25/2025,3.0,A,top,0.00636,0.4,#3
10:05:09,3/25/2025,4.0,A,bottom,0.174133,0.5,#4
10:05:39,3/25/2025,4.0,A,top,0.14275,0.6,#4
10:20:47,3/25/2025,41.0,A,bottom,-0.01277,0.8,#41
10:21:18,3/25/2025,41.0,A,top,-0.012007,0.6,#41
10:22:40,3/25/2025,6.0,A,bottom,0.186031,0.5,#6
10:23:00,3/25/2025,6.0,A,top,0.072146,0.7,#6
10:27:04,3/25/2025,5.0,A,bottom,0.007946,0.7,#5
10:27:28,3/25/2025,5.0,A,top,0.006296,1.0,#5
10:29:41,3/25/2025,7.0,A,bottom,-0.002825,0.8,#7
10:30:23,3/25/2025,7.0,A,top,-0.013038,1.0,#7
